City_ID,City,Lat,Lng,Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain Fall,Snow Fall
245,Gravdal,68.12,13.5,light snow,36.95,79,95,28.3,NO,2020-04-16 22:48:46,0.0,0.39
246,Alcazar De San Juan,39.39,-3.21,overcast clouds,55.99,86,99,1.99,ES,2020-04-16 22:48:46,0.0,0.0
247,Ugoofaaru,5.67,73.0,scattered clouds,85.12,71,33,10.69,MV,2020-04-16 22:48:46,0.0,0.0
248,Polson,47.69,-114.16,clear sky,48.2,31,1,13.87,US,2020-04-16 22:48:46,0.0,0.0
249,San Cristobal,7.77,-72.22,haze,87.8,48,40,10.29,VE,2020-04-16 22:48:46,0.0,0.0
250,Loum,4.72,9.74,light rain,75.51,86,100,0.56,CM,2020-04-16 22:48:47,1.11,0.0
251,Karratha,-20.74,116.85,overcast clouds,84.38,62,90,12.57,AU,2020-04-16 22:48:47,0.0,0.0
252,Majene,-3.54,118.97,scattered clouds,81.97,78,37,3.53,ID,2020-04-16 22:47:59,0.0,0.0
253,Wanning,18.8,110.4,overcast clouds,76.84,77,100,8.03,CN,2020-04-16 22:48:47,0.0,0.0
254,Acari,-15.43,-74.62,clear sky,74.55,61,7,4.09,PE,2020-04-16 22:48:47,0.0,0.0
255,Taoudenni,22.68,-3.98,broken clouds,91.2,23,59,5.57,ML,2020-04-16 22:48:47,0.0,0.0
256,Road Town,18.42,-64.62,clear sky,82.4,58,1,11.41,VG,2020-04-16 22:47:07,0.0,0.0
257,Mwinilunga,-11.74,24.43,light rain,64.13,63,81,2.35,ZM,2020-04-16 22:48:48,1.59,0.0
258,Primalkinskoye,43.75,44.01,scattered clouds,39.2,63,47,4.47,RU,2020-04-16 22:48:48,0.0,0.0
259,Yarada,17.65,83.27,mist,80.6,94,20,8.05,IN,2020-04-16 22:48:48,0.0,0.0
260,Maan,5.93,124.74,broken clouds,84.65,65,69,3.58,PH,2020-04-16 22:48:49,0.0,0.0
261,Shingu,33.73,135.98,light rain,60.73,72,65,8.79,JP,2020-04-16 22:48:49,0.27,0.0
262,Sampit,-2.53,112.95,overcast clouds,78.91,88,88,2.06,ID,2020-04-16 22:48:49,0.0,0.0
263,Eureka,40.8,-124.16,scattered clouds,66.0,81,40,4.7,US,2020-04-16 22:45:01,0.0,0.0
264,Humaita,-7.51,-63.02,broken clouds,75.56,94,82,2.28,BR,2020-04-16 22:48:49,0.0,0.0
265,Avera,33.19,-82.53,clear sky,72.0,26,1,5.82,US,2020-04-16 22:48:49,0.0,0.0
266,Qaqortoq,60.72,-46.03,overcast clouds,32.0,93,100,7.07,GL,2020-04-16 22:48:50,0.0,0.0
267,Ranong,9.97,98.63,overcast clouds,80.24,79,99,3.09,TH,2020-04-16 22:48:50,0.0,0.0
268,De Aar,-30.65,24.01,clear sky,56.26,23,0,5.21,ZA,2020-04-16 22:48:50,0.0,0.0
269,Sandwick,60.0,-1.25,few clouds,42.8,81,18,6.93,GB,2020-04-16 22:45:28,0.0,0.0
270,Saint-Francois,46.42,3.91,broken clouds,59.0,54,82,4.7,FR,2020-04-16 22:48:50,0.0,0.0
271,Pueblo Nuevo,23.38,-105.38,broken clouds,73.24,10,54,7.74,MX,2020-04-16 22:48:50,0.0,0.0
272,Ciudad Guayana,8.35,-62.65,scattered clouds,85.95,38,50,8.05,VE,2020-04-16 22:46:06,0.0,0.0
273,Catamarca,-28.47,-65.79,broken clouds,68.16,46,60,5.75,AR,2020-04-16 22:48:51,0.0,0.0
274,Bobrovytsya,50.75,31.38,broken clouds,51.8,67,75,11.18,UA,2020-04-16 22:48:51,0.0,0.0
275,Jiana,44.4,22.71,broken clouds,48.22,64,62,3.06,RO,2020-04-16 22:48:51,0.0,0.0
276,Awjilah,29.11,21.29,broken clouds,65.12,40,81,7.7,LY,2020-04-16 22:48:51,0.0,0.0
277,Morococha,-11.6,-76.14,light rain,35.33,24,65,0.29,PE,2020-04-16 22:48:52,0.35,0.0
278,Pangai,-19.8,-174.35,scattered clouds,78.8,78,40,2.24,TO,2020-04-16 22:48:52,0.0,0.0
279,San Andres,12.58,-81.7,few clouds,86.0,66,20,11.41,CO,2020-04-16 22:48:52,0.0,0.0
280,Kieta,-6.22,155.63,moderate rain,79.32,84,100,7.72,PG,2020-04-16 22:48:52,3.29,0.0
